name,ID
"Mass Production",452547.json
"Dreams of Steel and Oil",452628.json
"Steel Seraph",452629.json
"Platoon Dispenser",452632.json
"Static Net",452637.json
"Machine Over Matter",452639.json
"Zephyr Sentinel",452640.json
"Razorlash Transmogrant",452641.json
"Mechanized Warfare",452642.json
"Draconic Destiny",452646.json
"Awaken the Woods",452655.json
"Perennial Behemoth",452661.json
"Iron-Craw Crusher",452662.json
"Levitating Statue",452663.json
"Platoon Dispenser (Extended Art)",452674.json
"Steel Seraph (Extended Art)",452676.json
"Razorlash Transmogrant (Extended Art)",452680.json
"Perennial Behemoth (Extended Art)",452685.json
"Skystrike Officer",452690.json
"Skystrike Officer (Extended Art)",452696.json
"Myrel, Shield of Argive",452700.json
"Bladecoil Serpent",452701.json
"Ambush Paratrooper",452742.json
"Great Desert Prospector",452746.json
"Cityscape Leveler",452750.json
"Skyfisher Spider",452768.json
"Powerstone Engineer",452777.json
"Misery's Shadow",452794.json
"Misery's Shadow (Extended Art)",452795.json
"Argothian Sprite",452798.json
"Keeper of the Cadence",452799.json
"Gurgling Anointer",452800.json
"Rootwire Amalgam",452804.json
"Rootwire Amalgam (Extended Art)",452807.json
"Mine Worker",452812.json
"Awaken the Woods (Extended Art)",452817.json
"Draconic Destiny (Extended Art)",452819.json
"Gwenna, Eyes of Gaea",452822.json
"Haywire Mite",452824.json
"Mask of the Jadecrafter",452827.json
"Mechanized Warfare (Extended Art)",452828.json
"Symmetry Matrix",452831.json
"Teething Wurmlet",452832.json
"Steel Exemplar",452833.json
"Deadly Riposte",452834.json
"Horned Stoneseeker",452877.json
"Sarinth Steelseeker",452914.json
"Battery Bearer",452917.json
"Hulking Metamorph",452920.json
"Spotter Thopter",452930.json
"Defabricate",452954.json
"Titania's Command",452968.json
"Kill-Zone Acrobat",453011.json
"Ravenous Gigamole",453012.json
"Thraxodemon",453013.json
"Gixian Skullflayer",453014.json
"Dredging Claw",453015.json
"Whirling Strike",453016.json
"Scrapwork Rager",453017.json
"Scrapwork Mutt",453018.json
"Excavation Explosion",453019.json
"Unleash Shell",453020.json
"Blanchwood Prowler",453021.json
"Perimeter Patrol",453022.json
"Shoot Down",453023.json
"Koilos Roc",453024.json
"Weakstone's Subjugation",453025.json
"Combat Courier",453026.json
"Aeronaut Cavalry",453027.json
"Airlift Chaplain",453028.json
"Phalanx Vanguard",453029.json
"Recommission",453030.json
"Warlord's Elite",453031.json
"Veteran's Powerblade",453032.json
"Legions to Ashes",453033.json
"Yotian Tactician",453034.json
"Meticulous Excavation",453075.json
"Military Discipline",453076.json
"Prison Sentence",453077.json
"Coastal Bulwark",453079.json
"Wing Commando",453081.json
"Trench Stalker",453082.json
"Arms Race",453083.json
"Scatter Ray",453084.json
"Retrieval Agent",453085.json
"Rescue Retriever",453086.json
"Conscripted Infantry",453087.json
"Sarinth Greatwurm (Extended Art)",453088.json
"Involuntary Cooldown",453089.json
"Myrel, Shield of Argive (Extended Art)",453090.json
"Desynchronize",453091.json
"Autonomous Assembler (Extended Art)",453092.json
"Goring Warplow",453093.json
"Giant Cindermaw",453094.json
"Curate",453095.json
"Rescue Retriever (Extended Art)",453096.json
"Emergency Weld",453097.json
"Lay Down Arms",453098.json
"Air Marshal",453099.json
"Terror Ballista",453100.json
"Bladecoil Serpent (Extended Art)",453101.json
"Aeronaut's Wings",453102.json
"Dwarven Forge-Chanter",453103.json
"Gixian Infiltrator",453104.json
"Energy Refractor",453106.json
"Over the Top",453107.json
"Carrion Locust",453109.json
"Slagstone Refinery",453110.json
"Penregon Strongbull",453111.json
"Geology Enthusiast",453112.json
"Spectrum Sentinel",453113.json
"Legions to Ashes (Extended Art)",453114.json
"Roc Hunter",453115.json
"Stone Retrieval Unit",453116.json
"Geology Enthusiast (Extended Art)",453117.json
"Supply Drop",453118.json
"Tomakul Scrapsmith",453119.json
"Flow of Knowledge",453120.json
"Swiftgear Drake",453121.json
"Terror Ballista (Extended Art)",453122.json
"Tower Worker",453123.json
"Cityscape Leveler (Extended Art)",453124.json
"Hostile Negotiations",453125.json
"Evolving Wilds",453127.json
"Moment of Defiance",453128.json
"Hostile Negotiations (Extended Art)",453129.json
"Transmogrant Altar",453131.json
"Sarinth Greatwurm",453133.json
"Fateful Handoff",453134.json
"Fateful Handoff (Extended Art)",453135.json
"Over the Top (Extended Art)",453137.json
"Boulderbranch Golem",453138.json
"Cradle Clearcutter",453139.json
"Tomakul Honor Guard",453140.json
"Hoarding Recluse",453141.json
"Gnarlroot Pallbearer",453142.json
"Citanul Stalwart",453143.json
"Bushwhack",453146.json
"Burrowing Razormaw",453147.json
"Woodcaller Automaton",453150.json
"Fauna Shaman (Extended Art)",453151.json
"Gwenna, Eyes of Gaea (Extended Art)",453152.json
"Teething Wurmlet (Extended Art)",453153.json
"Titania's Command (Extended Art)",453154.json
"Woodcaller Automaton (Extended Art)",453155.json
"Blanchwood Armor",453156.json
"Mishra's Foundry",453157.json
"Sardian Cliffstomper",453158.json
"Artificer's Dragon",453165.json
"Loran's Escape",453207.json
"Artificer's Dragon (Extended Art)",453211.json
"Blitz Automaton",453230.json
"Corrupt",455268.json
"Temporal Firestorm",279818.json
"Temporal Firestorm (Extended Art)",279819.json
"Llanowar Loamspeaker (Extended Art)",279820.json
"Llanowar Loamspeaker",279821.json
"Llanowar Loamspeaker",279822.json
"Evolved Sleeper",279823.json
"Evolved Sleeper (Extended Art)",279824.json
"Shivan Devastator (Extended Art)",279825.json
"Shivan Devastator",279826.json
"Jaya, Fiery Negotiator",279827.json
"Jaya, Fiery Negotiator (Borderless)",279828.json
"Plains (Showcase)",279830.json
"Island (Showcase)",279831.json
"Swamp (Showcase)",279832.json
"Mountain (Showcase)",279833.json
"Forest (Showcase)",279834.json
"Liliana of the Veil",282720.json
"Squee, Dubious Monarch",282735.json
"Squee, Dubious Monarch (Showcase)",282737.json
"Squee, Dubious Monarch (Textured Foil)",282738.json
"Sheoldred, the Apocalypse (Textured Foil)",282739.json
"Sheoldred, the Apocalypse (Showcase)",282740.json
"Sheoldred, the Apocalypse (Phyrexian)",282741.json
"The Raven Man",282742.json
"The Raven Man (Showcase)",282743.json
"The Raven Man (Textured Foil)",282744.json
"Liliana of the Veil (Borderless)",282745.json
"Ajani, Sleeper Agent",282747.json
"Ajani, Sleeper Agent (371)",282748.json
"Ajani, Sleeper Agent (Phyrexian)",282749.json
"Ajani, Sleeper Agent (375)",282750.json
"Ajani, Sleeper Agent (376)",282751.json
"Adarkar Wastes",282752.json
"Adarkar Wastes (Borderless)",282753.json
"Sulfurous Springs",282754.json
"Sulfurous Springs (Borderless)",282755.json
"The World Spell",282757.json
"Braids, Arisen Nightmare",282758.json
"Braids, Arisen Nightmare (Showcase)",282759.json
"Territorial Maro",282760.json
"Guardian of New Benalia",282761.json
"Guardian of New Benalia (Extended Art)",282762.json
"The Phasing of Zhalfir",282763.json
"Nishoba Brawler",282764.json
"Archangel of Wrath",282765.json
"Archangel of Wrath (Extended Art)",282766.json
"Impede Momentum",282767.json
"Charismatic Vanguard",282768.json
"Benalish Sleeper",282770.json
"Defiler of Dreams",282771.json
"Yavimaya Coast",282772.json
"Yavimaya Coast (Borderless)",282773.json
"Jhoira, Ageless Innovator",282774.json
"Zur, Eternal Schemer",282775.json
"Sol'Kanar the Tainted",282776.json
"Soul of Windgrace",282777.json
"Raff, Weatherlight Stalwart",282778.json
"Raff, Weatherlight Stalwart (Showcase)",282779.json
"Sol'Kanar the Tainted (Showcase)",282780.json
"Jhoira, Ageless Innovator (Showcase)",282781.json
"Zur, Eternal Schemer (Showcase)",282782.json
"Caves of Koilos",282783.json
"Caves of Koilos (Borderless)",282784.json
"Shivan Reef",282785.json
"Shivan Reef (Borderless)",282786.json
"Karplusan Forest",282787.json
"Karplusan Forest (Borderless)",282788.json
"Shalai's Acolyte",282789.json
"Radha's Firebrand",282790.json
"Sphinx of Clear Skies (Extended Art)",282791.json
"Astor, Bearer of Blades",282792.json
"Astor, Bearer of Blades (Showcase)",282793.json
"Resolute Reinforcements",282794.json
"Micromancer",282795.json
"Lightning Strike",282796.json
"Sheoldred, the Apocalypse",282800.json
"Herd Migration",282801.json
"Herd Migration (DMU Bundle)",282802.json
"Defiler of Vigor",282804.json
"Najal, the Storm Runner",282805.json
"Tolarian Geyser",282806.json
"Tolarian Terror",282807.json
"Vineshaper Prodigy",282808.json
"Stall for Time",282809.json
"Take Up the Shield",282810.json
"Toxic Abomination",282811.json
"Tattered Apparition",282812.json
"Magnigoth Sentry",282813.json
"Molten Monstrosity",282814.json
"Snarespinner",282815.json
"Viashino Branchrider",282816.json
"Voda Sea Scavenger",282817.json
"Volshe Tideturner",282818.json
"Scout the Wilderness",282819.json
"Urborg Repossession",282820.json
"Writhing Necromass",282821.json
"Balduvian Atrocity",282822.json
"Sengir Connoisseur",282823.json
"Serra Redeemer (282)",282824.json
"Serra Redeemer (Extended Art)",282825.json
"Cosmic Epiphany (283)",282826.json
"Cosmic Epiphany (Extended Art)",282827.json
"Golden Argosy",282828.json
"Tyrannical Pitlord",282829.json
"Tyrannical Pitlord (Extended Art)",282830.json
"Chaotic Transformation",282831.json
"Chaotic Transformation (Extended Art)",282832.json
"Briar Hydra (286)",282833.json
"Briar Hydra (Extended Art)",282834.json
"Ragefire Hellkite (Extended Art)",282839.json
"Ragefire Hellkite",282841.json
"Cut Down",282845.json
"Cut Down",282853.json
"Radha's Firebrand (Extended Art)",282862.json
"Nemata, Primeval Warden",282864.json
"Herd Migration (Extended Art)",282867.json
"Nishoba Brawler",282870.json
"Micromancer",282873.json
"Nemata, Primeval Warden (Showcase)",282876.json
"Defiler of Dreams (Extended Art)",282878.json
"Lightning Strike",282882.json
"Join Forces",283059.json
"Threats Undetected",283064.json
"Forest (274)",283075.json
"Forest (275)",283076.json
"Forest (276)",283077.json
"Island (265)",283078.json
"Island (266)",283079.json
"Island (267)",283080.json
"Mountain (271)",283081.json
"Mountain (272)",283082.json
"Mountain (273)",283083.json
"Plains (262)",283084.json
"Plains (263)",283085.json
"Plains (264)",283086.json
"Swamp (268)",283087.json
"Swamp (269)",283088.json
"Swamp (270)",283089.json
"Sphinx of Clear Skies",283090.json
"Aron, Benalia's Ruin (Showcase)",283091.json
"Yavimaya Steelcrusher",283092.json
"Samite Herbalist",283093.json
"Mesa Cavalier",283094.json
"Frostfist Strider",283095.json
"Shanna, Purifying Blade (Showcase)",283096.json
"Shanna, Purifying Blade",283097.json
"Keldon Flamesage",283098.json
"Keldon Flamesage (Extended Art)",283099.json
"Tori D'Avenant, Fury Rider",283100.json
"Plaza of Heroes",283118.json
"Plaza of Heroes (Extended Art)",283119.json
"Yavimaya Iconoclast",283120.json
"Protect the Negotiators",283121.json
"Karn, Living Legacy",283122.json
"Karn, Living Legacy (Borderless)",283123.json
"Dragon Whelp",283124.json
"Strength of the Coalition",283125.json
"Monstrous War-Leech",283126.json
"Phoenix Chick",283127.json
"Defiler of Faith",283128.json
"Defiler of Faith (Extended Art)",283129.json
"Bortuk Bonerattle",283130.json
"Bortuk Bonerattle (Showcase)",283131.json
"Cult Conscript",283132.json
"Hero's Heirloom",283133.json
"Rona's Vortex",283134.json
"Citizen's Arrest",283142.json
"Coalition Skyknight",283143.json
"Walking Bulwark",283144.json
"Pilfer",283145.json
"Argivian Cavalier",283146.json
"Blight Pile",283147.json
"Coral Colony",283150.json
"Choking Miasma",283151.json
"Fires of Victory",283152.json
"Twinferno",283153.json
"Joint Exploration",283155.json
"Inscribed Tablet",283156.json
"Stronghold Arena",283157.json
"Stronghold Arena (Extended Art)",283158.json
"Urborg Lhurgoyf (Extended Art)",283159.json
"Urborg Lhurgoyf",283160.json
"Slimefoot's Survey",283161.json
"Weatherlight Compleated",283162.json
"Ratadrabik of Urborg",283163.json
"Ratadrabik of Urborg (Showcase)",283164.json
"Hurler Cyclops",283165.json
"Warhost's Frenzy",283166.json
"Timely Interference",283173.json
"Thrill of Possibility",283174.json
"Colossal Growth",283175.json
"Llanowar Greenwidow",283176.json
"Queen Allenal of Ruadach",283177.json
"Rulik Mons, Warren Chief",283178.json
"Bortuk Bonerattle (Textured Foil)",283180.json
"Najal, the Storm Runner (Showcase)",283181.json
"Nemata, Primeval Warden (Textured Foil)",283182.json
"Karn's Sylex",283183.json
"Lagomos, Hand of Hatred",283184.json
"Queen Allenal of Ruadach (Showcase)",283185.json
"Rundvelt Hordemaster",283186.json
"Queen Allenal of Ruadach (Textured Foil)",283187.json
"Wingmantle Chaplain",283188.json
"Rulik Mons, Warren Chief (Showcase)",283189.json
"Rulik Mons, Warren Chief (Textured Foil)",283190.json
"Vodalian Mindsinger",283191.json
"Timeless Lotus",283192.json
"Shanna, Purifying Blade (Textured Foil)",283193.json
"Soul of Windgrace (Showcase)",283194.json
"Soul of Windgrace (Textured Foil)",283195.json
"Tori D'Avenant, Fury Rider (Showcase)",283196.json
"Tori D'Avenant, Fury Rider (Textured Foil)",283197.json
"Braids, Arisen Nightmare (Textured Foil)",283198.json
"Astor, Bearer of Blades (Textured Foil)",283199.json
"Jhoira, Ageless Innovator (Textured Foil)",283200.json
"Raff, Weatherlight Stalwart (Textured Foil)",283201.json
"Sol'Kanar the Tainted (Textured Foil)",283202.json
"Zur, Eternal Schemer (Textured Foil)",283203.json
"Defiler of Vigor (Extended Art)",283204.json
"Llanowar Greenwidow (Extended Art)",283206.json
"Threats Undetected (Extended Art)",283208.json
"Lagomos, Hand of Hatred (Showcase)",283255.json
"Bog Badger",283263.json
"Jaya's Firenado",283264.json
"Phyrexian Espionage",283265.json
"Juniper Order Rootweaver",283270.json
"Defiler of Flesh",283271.json
"Yotia Declares War",283274.json
"Cleaving Skyrider",283277.json
"Djinn of the Fountain",283278.json
"Ivy, Gleeful Spellthief",283316.json
"Silver Scrutiny",283328.json
"Danitha, Benalia's Hope",283330.json
"King Darien XLVIII",283353.json
"Runic Shot",283363.json
"Temporary Lockdown",283367.json
"Temporary Lockdown (Extended Art)",283368.json
"Automatic Librarian",283374.json
"Elvish Hydromancer",283376.json
"Sprouting Goblin",283378.json
"Elas il-Kor, Sadistic Pilgrim",283381.json
"Elas il-Kor, Sadistic Pilgrim (Showcase)",283384.json
"Vohar, Vodalian Desecrator",283385.json
"Danitha, Benalia's Hope (Showcase)",283386.json
"Ivy, Gleeful Spellthief (Textured Foil)",283387.json
"Rundvelt Hordemaster (Extended Art)",283390.json
"Vodalian Mindsinger (Extended Art)",283392.json
"King Darien XLVIII (Textured Foil)",283395.json
"Serra Paragon",283398.json
"Serra Paragon (Extended Art)",283399.json
"Anointed Peacekeeper",283402.json
"Leyline Binding",283403.json
"Academy Wall",283404.json
"Battlewing Mystic",283405.json
"Founding the Third Path",283406.json
"Haughty Djinn",283407.json
"Drag to the Bottom",283409.json
"Balduvian Berserker",283413.json
"Electrostatic Infantry",283414.json
"Hurloon Battle Hymn",283415.json
"Gaea's Might",283416.json
"Linebreaker Baloth",283417.json
"Quirion Beastcaller",283418.json
"Tail Swipe",283419.json
"Tear Asunder",283420.json
"Rivaz of the Claw",283421.json
"Rona, Sheoldred's Faithful",283422.json
"Stenn, Paranoid Partisan",283427.json
"Tatyova, Steward of Tides",283430.json
"Tura Kennerud, Skyknight",283433.json
"Zar Ojanen, Scion of Efrava",283435.json
"Jodah's Codex",283436.json
"Anointed Peacekeeper (Extended Art)",283439.json
"Leyline Binding (Extended Art)",283440.json
"Resolute Reinforcements",283441.json
"Haughty Djinn (Extended Art)",283442.json
"Silver Scrutiny (Extended Art)",283443.json
"Defiler of Flesh (Extended Art)",283444.json
"Drag to the Bottom (Extended Art)",283445.json
"Quirion Beastcaller (Extended Art)",283446.json
"Jodah, the Unifier (Showcase)",283447.json
"King Darien XLVIII (Showcase)",283448.json
"The Weatherseed Treaty",283449.json
"Knight of Dawn's Light",283450.json
"Rivaz of the Claw (Showcase)",283451.json
"Mossbeard Ancient",283452.json
"Rona, Sheoldred's Faithful (Showcase)",283453.json
"Aron, Benalia's Ruin",283454.json
"Stenn, Paranoid Partisan (Showcase)",283455.json
"Vesuvan Duplimancy",283456.json
"Vesuvan Duplimancy (Extended Art)",283457.json
"Tatyova, Steward of Tides (Showcase)",283458.json
"Tura Kennerud, Skyknight (Showcase)",283459.json
"Zar Ojanen, Scion of Efrava (Showcase)",283460.json
"Valiant Veteran",283461.json
"Jodah, the Unifier (Textured Foil)",283462.json
"Rith, Liberated Primeval",283463.json
"Lagomos, Hand of Hatred (Textured Foil)",283464.json
"Nael, Avizoa Aeronaut",283465.json
"Ratadrabik of Urborg (Textured Foil)",283466.json
"Balmor, Battlemage Captain",283467.json
"Rivaz of the Claw (Textured Foil)",283468.json
"Leaf-Crowned Visionary",283469.json
"Rona, Sheoldred's Faithful (Textured Foil)",283470.json
"Stenn, Paranoid Partisan (Textured Foil)",283471.json
"Thran Portal",283472.json
"Thran Portal (Extended Art)",283473.json
"Tatyova, Steward of Tides (Textured Foil)",283474.json
"Tura Kennerud, Skyknight (Textured Foil)",283475.json
"Sheoldred's Restoration",283476.json
"Zar Ojanen, Scion of Efrava (Textured Foil)",283477.json
"Extinguish the Light",283478.json
"Vodalian Hexcatcher",283479.json
"Valiant Veteran (Extended Art)",283480.json
"Rith, Liberated Primeval (Showcase)",283481.json
"Balmor, Battlemage Captain (Showcase)",283482.json
"Balmor, Battlemage Captain (Textured Foil)",283483.json
"Leaf-Crowned Visionary (Extended Art)",283484.json
"Vodalian Hexcatcher (Extended Art)",283485.json
"Phyrexian Rager",283486.json
"Tribute to Urborg",283487.json
"Negate",283488.json
"Meria, Scholar of Antiquity",283489.json
"Meria, Scholar of Antiquity (Showcase)",283490.json
"The Elder Dragon War",283491.json
"Shield-Wall Sentinel",283492.json
"Phyrexian Warhorse",283501.json
"Sunbathing Rootwalla",283502.json
"Smash to Dust",283503.json
"Yavimaya Sojourner",283504.json
"Aether Channeler",283511.json
"Aether Channeler (Extended Art)",283512.json
"Uurg, Spawn of Turg",283513.json
"Uurg, Spawn of Turg (Textured Foil)",283514.json
"Relic of Legends",283524.json
"Garna, Bloodfist of Keld",283527.json
"Baird, Argivian Recruiter",283528.json
"Phyrexian Missionary",283529.json
"Love Song of Night and Day",283530.json
"Braids's Frightful Return",283531.json
"Danitha, Benalia's Hope (Textured Foil)",283532.json
"Baird, Argivian Recruiter (Showcase)",283533.json
"Garna, Bloodfist of Keld (Showcase)",283534.json
"Ivy, Gleeful Spellthief (Showcase)",283535.json
"Nael, Avizoa Aeronaut (Showcase)",283536.json
"Uurg, Spawn of Turg (Showcase)",283537.json
"Vohar, Vodalian Desecrator (Showcase)",283538.json
"Aron, Benalia's Ruin (Textured Foil)",283539.json
"Baird, Argivian Recruiter (Textured Foil)",283540.json
"Elas il-Kor, Sadistic Pilgrim (Textured Foil)",283541.json
"Garna, Bloodfist of Keld (Textured Foil)",283542.json
"Meria, Scholar of Antiquity (Textured Foil)",283543.json
"Nael, Avizoa Aeronaut (Textured Foil)",283544.json
"Najal, the Storm Runner (Textured Foil)",283545.json
"Rith, Liberated Primeval (Textured Foil)",283546.json
"Vohar, Vodalian Desecrator (Textured Foil)",283547.json
"Radha, Coalition Warlord",283548.json
"Radha, Coalition Warlord (Showcase)",283549.json
"Prayer of Binding",283553.json
"Shadow-Rite Priest",283602.json
"Defiler of Instinct",283603.json
"Impulse",283604.json
"Urza Assembles the Titans",283605.json
"Ertai's Scorn",283606.json
"Ertai Resurrected",283607.json
